"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"AAA family ATPase_1" 206 606 418 1187 175 251 302 154 233 432 663 725
"chromosomal replication initiator protein DnaA" 1976 1689 1468 2907 1572 3402 2329 1880 2665 1393 1674 2242
"ATP-grasp domain-containing protein_1" 1863 2155 1460 2136 2305 3147 2891 3309 4313 1699 2642 3343
"hypothetical protein_1" 38 52 43 22 54 48 65 49 64 23 26 69
"phosphoadenosine phosphosulfate reductase family protein" 22 27 34 21 18 36 35 45 33 22 21 31
"hypothetical protein_2" 15 27 19 18 22 36 27 29 46 7 18 33
"ParB N-terminal domain-containing protein_1" 475 1081 996 2382 384 691 531 411 545 997 1537 1451
"4-hydroxy-2-oxovalerate aldolase" 3749 3027 2304 4390 3969 5617 5412 4894 6613 2830 4405 4655
"hypothetical protein_3" 71 46 40 74 70 85 69 92 79 42 48 77
"DNA polymerase III subunit beta" 3743 4214 2971 4479 3616 5253 4681 4132 5195 2650 3515 5338
"DUF4314 domain-containing protein" 21 45 19 42 52 53 35 38 81 18 30 47
"non-ribosomal peptide synthetase" 1293 1047 725 966 857 1406 1233 1108 1405 678 1012 1377
"acetaldehyde dehydrogenase (acetylating)" 1847 2035 1309 1958 2643 3735 3384 3378 4231 1760 2801 2839
"hypothetical protein_4" 62 44 24 53 43 57 57 38 53 24 23 53
"family 16 glycosylhydrolase" 182 390 234 352 216 340 354 254 370 224 311 372
"hypothetical protein_5" 64 99 63 73 105 111 94 108 124 55 77 109
"DNA replication/repair protein RecF" 677 383 214 279 464 703 555 465 676 228 361 449
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_1" 2233 1280 991 1751 2109 3180 3514 2817 3270 1081 1656 1877
"hypothetical protein_6" 6 27 12 7 15 19 15 31 38 20 33 21
"hypothetical protein_7" 41 64 46 53 58 107 119 57 84 65 73 114
"LysE family translocator_1" 63 75 50 67 73 87 73 57 91 44 80 91
"sulfotransferase domain-containing protein_1" 226 309 234 255 316 508 397 410 564 175 283 387
"TetR/AcrR family transcriptional regulator_1" 66 98 63 61 62 123 108 105 120 68 80 119
"MFS transporter_1" 446 623 539 825 491 693 665 661 784 388 579 724
"hypothetical protein_8" 52 90 73 90 86 119 92 93 151 67 87 132
"glycosyltransferase_1" 295 179 128 218 168 300 274 193 271 133 213 229
"NAD(P)H-dependent oxidoreductase_1" 78 650 377 404 48 78 75 48 93 257 451 536
"DNA topoisomerase (ATP-hydrolyzing) subunit B" 4545 4316 3026 3739 3811 5670 4670 4281 6135 3189 4414 6122
"hypothetical protein_9" 10 6 10 9 12 12 10 9 25 6 7 13
"hypothetical protein_10" 60 134 110 79 117 164 126 157 196 74 127 137
"amino acid ABC transporter substrate-binding protein_1" 5070 5259 3351 5019 3645 5456 2563 2833 2493 6812 10714 12495
"DUF3299 domain-containing protein_1" 227 1796 1191 1958 293 445 476 361 509 386 499 687
"amino acid ABC transporter permease_1" 1139 1234 796 925 1074 1704 732 754 783 1493 2589 2809
"O-antigen ligase family protein" 173 186 97 113 142 235 183 150 245 91 182 227
"alpha/beta hydrolase_1" 407 871 542 447 426 678 819 652 1115 408 569 798
"hypothetical protein_11" 34 160 135 124 52 64 147 119 184 70 99 130
"amino acid ABC transporter ATP-binding protein_1" 2524 1460 974 1449 1506 2328 966 1064 1097 1771 2853 3186
"alpha/beta hydrolase_2" 82 257 184 191 124 193 275 271 328 121 154 219
"hypothetical protein_12" 1144 1065 652 802 1068 1566 1125 927 1549 1025 1541 1978
"hypothetical protein_13" 761 1771 1021 880 811 1179 1210 1008 1668 732 1175 1482
"hypothetical protein_14" 184 225 170 163 296 353 316 306 400 123 141 257
"hypothetical protein_15" 6937 32796 27696 25349 10617 16483 8935 8634 14738 16257 24301 36411
"YjbF family lipoprotein_1" 677 957 644 566 789 1170 740 783 1035 600 726 1112
"DMT family transporter_1" 23 110 86 81 43 65 81 71 87 48 54 89
"transporter substrate-binding domain-containing protein_1" 1169 379 229 339 738 1265 864 745 1103 539 690 1103
"polysaccharide biosynthesis tyrosine autokinase" 1420 1438 1154 1075 1562 2320 1808 1740 2293 941 1350 2024
"YjbH domain-containing protein_1" 2041 3556 2651 2418 2820 4078 3054 3089 3829 2276 3041 5067
"hypothetical protein_16" 33 60 27 53 27 64 43 46 58 30 29 54
"helix-turn-helix domain-containing protein_1" 5 17 7 17 3 8 9 3 9 8 5 7
"transporter substrate-binding domain-containing protein_2" 755 255 186 277 660 1078 772 632 998 434 536 795
"DUF1272 domain-containing protein" 11 56 33 37 21 24 49 51 61 14 12 30
"DUF2726 domain-containing protein" 46 101 60 93 46 79 95 65 84 31 55 83
"helix-turn-helix domain-containing protein_2" 218 283 184 154 229 308 399 389 545 113 149 264
"hypothetical protein_17" 48 122 102 68 57 104 88 68 117 42 65 74
"glycosyltransferase family 2 protein_1" 270 263 158 240 274 377 435 290 372 152 207 273
"hypothetical protein_18" 191 787 520 444 327 470 434 468 602 314 485 748
"hypothetical protein_19" 390 796 528 412 424 585 656 487 585 318 420 563
